Finland, Exposure to risk (cohort 5x10), 	Last modified: 02 Aug 2021;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1890-1899        0            384780.04       397919.53       782699.58
1890-1899      1-4           1319754.72      1337010.52      2656765.23
1890-1899      5-9           1519162.67      1540040.77      3059203.44
1890-1899     10-14          1465453.05      1491676.02      2957129.06
1890-1899     15-19          1400585.23      1425707.24      2826292.47
1890-1899     20-24          1318065.91      1299037.84      2617103.75
1890-1899     25-29          1253191.65      1181967.79      2435159.44
1890-1899     30-34          1209652.94      1120089.38      2329742.31
1890-1899     35-39          1177944.74      1083698.40      2261643.14
1890-1899     40-44          1141514.07      1027871.01      2169385.09
1890-1899     45-49          1102883.84       969909.73      2072793.57
1890-1899     50-54          1047928.93       879150.98      1927079.91
1890-1899     55-59           987376.14       780901.18      1768277.32
1890-1899     60-64           920458.19       675895.73      1596353.92
1890-1899     65-69           828598.75       554667.05      1383265.79
1890-1899     70-74           696622.56       411675.25      1108297.80
1890-1899     75-79           522411.40       267265.60       789677.00
1890-1899     80-84           339824.69       144416.51       484241.20
1890-1899     85-89           179219.44        61890.44       241109.88
1890-1899     90-94            67630.66        18770.63        86401.29
1890-1899     95-99            14984.20         3312.28        18296.48
1890-1899    100-104            1776.08          248.21         2024.29
1890-1899    105-109              95.19           11.01          106.20
1890-1899    110+                  2.34            1.67            4.01
1900-1909        0            405610.59       422099.77       827710.36
1900-1909      1-4           1458471.71      1489521.64      2947993.35
1900-1909      5-9           1745605.14      1780838.63      3526443.77
1900-1909     10-14          1707693.11      1749959.82      3457652.92
1900-1909     15-19          1659188.97      1696675.65      3355864.61
1900-1909     20-24          1606135.58      1616908.78      3223044.36
1900-1909     25-29          1548446.04      1545704.57      3094150.61
1900-1909     30-34          1505144.90      1468814.18      2973959.08
1900-1909     35-39          1462500.68      1368783.83      2831284.51
1900-1909     40-44          1415004.13      1280001.77      2695005.90
1900-1909     45-49          1373374.63      1210731.58      2584106.21
1900-1909     50-54          1333899.78      1141180.38      2475080.16
1900-1909     55-59          1283019.10      1048703.36      2331722.46
1900-1909     60-64          1213515.50       921255.32      2134770.82
1900-1909     65-69          1113903.10       758533.13      1872436.22
1900-1909     70-74           976449.27       577528.20      1553977.47
1900-1909     75-79           792388.07       395012.47      1187400.54
1900-1909     80-84           561909.91       230660.60       792570.51
1900-1909     85-89           314740.75       105500.90       420241.65
1900-1909     90-94           123038.73        33596.69       156635.42
1900-1909     95-99            28800.84         6146.95        34947.79
1900-1909    100-104            3492.30          581.54         4073.84
1900-1909    105-109             167.68           30.73          198.40
1900-1909    110+                  3.35            0.00            3.35
1910-1919        0            385161.25       403956.52       789117.77
1910-1919      1-4           1394356.15      1444048.99      2838405.14
1910-1919      5-9           1677746.29      1735500.39      3413246.68
1910-1919     10-14          1655970.47      1713311.10      3369281.56
1910-1919     15-19          1633332.92      1690601.29      3323934.21
1910-1919     20-24          1606451.11      1626075.56      3232526.67
1910-1919     25-29          1556659.79      1472526.80      3029186.58
1910-1919     30-34          1506310.42      1345440.31      2851750.73
1910-1919     35-39          1466409.62      1287151.21      2753560.83
