Belgium, Exposure to risk (period 5x10), 	Last modified: 25 Sep 2021;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1950-1959     50-54          3143690.10      2995013.70      6138703.80
1950-1959     55-59          2870453.10      2578096.98      5448550.08
1950-1959     60-64          2457405.05      2076785.80      4534190.85
1950-1959     65-69          2053832.90      1684430.46      3738263.36
1950-1959     70-74          1628737.32      1306122.34      2934859.66
1950-1959     75-79          1119639.84       860507.84      1980147.68
1950-1959     80-84           591159.44       422114.07      1013273.51
1950-1959     85-89           215035.02       133693.34       348728.36
1950-1959     90-94            48444.51        24004.93        72449.44
1950-1959     95-99             5687.58         2285.95         7973.53
1950-1959    100-104             304.14           93.51          397.64
1950-1959    105-109               0.75            0.00            0.75
1950-1959    110+                  0.00            0.00            0.00
1960-1969        0            734135.87       772989.81      1507125.68
1960-1969      1-4           2984323.34      3130937.13      6115260.47
1960-1969      5-9           3675421.46      3841802.32      7517223.78
1960-1969     10-14          3526120.59      3672751.83      7198872.42
1960-1969     15-19          3265505.50      3393806.18      6659311.68
1960-1969     20-24          2919035.98      2999621.74      5918657.72
1960-1969     25-29          2899619.87      2931883.83      5831503.70
1960-1969     30-34          3145330.33      3162690.29      6308020.62
1960-1969     35-39          3290147.46      3295120.63      6585268.10
1960-1969     40-44          3047525.19      3021996.75      6069521.95
1960-1969     45-49          2699742.90      2643419.60      5343162.49
1960-1969     50-54          2831336.17      2713404.57      5544740.74
1960-1969     55-59          3023032.72      2795147.29      5818180.01
1960-1969     60-64          2875948.48      2494062.86      5370011.35
1960-1969     65-69          2480410.72      1950518.49      4430929.21
1960-1969     70-74          1912763.76      1372290.60      3285054.36
1960-1969     75-79          1324220.38       902211.79      2226432.16
1960-1969     80-84           754777.13       495883.31      1250660.44
1960-1969     85-89           310009.91       185450.53       495460.44
1960-1969     90-94            76087.33        39053.51       115140.84
1960-1969     95-99            10145.19         4187.85        14333.03
1960-1969    100-104             539.52          172.83          712.35
1960-1969    105-109               3.95            0.00            3.95
1960-1969    110+                  0.00            0.00            0.00
1970-1979        0            621100.03       654426.88      1275526.91
1970-1979      1-4           2592491.72      2721742.28      5314233.99
1970-1979      5-9           3586744.02      3756325.97      7343069.99
1970-1979     10-14          3801606.75      3972336.10      7773942.85
1970-1979     15-19          3759252.57      3917818.49      7677071.07
1970-1979     20-24          3604970.70      3758791.62      7363762.32
1970-1979     25-29          3329319.11      3476465.54      6805784.66
1970-1979     30-34          2968520.63      3064626.57      6033147.20
1970-1979     35-39          2926924.26      2965606.67      5892530.93
1970-1979     40-44          3135891.54      3136370.14      6272261.68
1970-1979     45-49          3234470.34      3185288.76      6419759.10
1970-1979     50-54          2947912.83      2842850.96      5790763.79
1970-1979     55-59          2561818.58      2383758.56      4945577.14
1970-1979     60-64          2606146.32      2278136.36      4884282.68
1970-1979     65-69          2651246.40      2107091.27      4758337.66
1970-1979     70-74          2292271.35      1601521.58      3893792.93
1970-1979     75-79          1660476.22      1002451.92      2662928.14
1970-1979     80-84           945526.68       508803.84      1454330.52
1970-1979     85-89           395939.89       200072.35       596012.24
1970-1979     90-94           107534.10        50011.34       157545.44
1970-1979     95-99            15597.88         6374.33        21972.21
1970-1979    100-104             959.15          351.00         1310.15
1970-1979    105-109              14.53            1.55           16.08
1970-1979    110+                  0.00            0.00            0.00
1980-1989        0            576181.06       608163.42      1184344.48
1980-1989      1-4           2332238.04      2452890.00      4785128.03
1980-1989      5-9           3016680.54      3165581.57      6182262.11
1980-1989     10-14          3244992.28      3400826.85      6645819.14
1980-1989     15-19          3623106.12      3782816.42      7405922.54
1980-1989     20-24          3864041.29      4021733.05      7885774.34
1980-1989     25-29          3811813.97      3968645.76      7780459.73
1980-1989     30-34          3621339.96      3776172.68      7397512.64
1980-1989     35-39          3312262.76      3442440.59      6754703.34
1980-1989     40-44          2929794.63      2991119.09      5920913.72
1980-1989     45-49          2865341.80      2858019.40      5723361.20
1980-1989     50-54          3036627.58      2960212.92      5996840.50
1980-1989     55-59          3080245.01      2901841.66      5982086.67
1980-1989     60-64          2748668.73      2452820.14      5201488.87
1980-1989     65-69          2296174.82      1872776.21      4168951.03
1980-1989     70-74          2175225.86      1539431.85      3714657.70
1980-1989     75-79          1927323.75      1137654.96      3064978.72
1980-1989     80-84          1276357.54       618907.49      1895265.03
1980-1989     85-89           596095.94       240964.39       837060.33
1980-1989     90-94           172304.85        61069.34       233374.19
1980-1989     95-99            28226.72         9242.02        37468.74
1980-1989    100-104            2363.02          780.44         3143.47
1980-1989    105-109              68.34           15.84           84.18
1980-1989    110+                  0.00            0.00            0.00
1990-1999        0            578867.91       606431.60      1185299.50
1990-1999      1-4           2360120.89      2473450.30      4833571.19
1990-1999      5-9           2963688.11      3112114.93      6075803.04
1990-1999     10-14          2959721.76      3107524.99      6067246.75
1990-1999     15-19          3056612.21      3189736.81      6246349.02
1990-1999     20-24          3347389.27      3455348.84      6802738.10
1990-1999     25-29          3727341.90      3864477.28      7591819.17
1990-1999     30-34          3919975.18      4057991.28      7977966.47
1990-1999     35-39          3823876.16      3940442.43      7764318.59
1990-1999     40-44          3599826.77      3705291.86      7305118.63
1990-1999     45-49          3264153.18      3341268.11      6605421.28
1990-1999     50-54          2858996.15      2859766.36      5718762.51
1990-1999     55-59          2761678.29      2665283.76      5426962.05
1990-1999     60-64          2868111.92      2637048.58      5505160.51
1990-1999     65-69          2818412.29      2389907.67      5208319.96
1990-1999     70-74          2385350.96      1798706.17      4184057.13
1990-1999     75-79          1793450.88      1134519.20      2927970.08
1990-1999     80-84          1371494.89       676244.98      2047739.87
1990-1999     85-89           838753.86       313552.64      1152306.49
1990-1999     90-94           302208.44        86513.92       388722.36
1990-1999     95-99            57294.21        13223.01        70517.21
1990-1999    100-104            5400.09         1037.81         6437.90
1990-1999    105-109             183.65           30.94          214.59
1990-1999    110+                  3.14            0.00            3.14
2000-2009        0            573713.02       601467.12      1175180.14
2000-2009      1-4           2292359.07      2395587.77      4687946.84
2000-2009      5-9           2914393.74      3044068.08      5958461.82
2000-2009     10-14          3032688.62      3174957.92      6207646.54
2000-2009     15-19          3064926.75      3197040.19      6261966.95
2000-2009     20-24          3187893.03      3232230.43      6420123.46
2000-2009     25-29          3338796.77      3380499.07      6719295.84
2000-2009     30-34          3551524.53      3629838.26      7181362.79
2000-2009     35-39          3854034.51      3958658.71      7812693.23
2000-2009     40-44          3971087.24      4064363.91      8035451.15
2000-2009     45-49          3818484.49      3874826.22      7693310.72
2000-2009     50-54          3548742.60      3578412.29      7127154.89
2000-2009     55-59          3171433.11      3151190.01      6322623.12
2000-2009     60-64          2730076.86      2604373.07      5334449.93
2000-2009     65-69          2570281.61      2292550.46      4862832.07
2000-2009     70-74          2559898.75      2066628.73      4626527.48
2000-2009     75-79          2314560.87      1605603.47      3920164.34
2000-2009     80-84          1659656.56       938044.09      2597700.65
2000-2009     85-89           890105.40       379772.77      1269878.17
2000-2009     90-94           370994.10       109307.34       480301.44
2000-2009     95-99            93984.97        18823.40       112808.37
2000-2009    100-104           10285.69         1357.18        11642.87
2000-2009    105-109             430.88           26.73          457.61
2000-2009    110+                  5.16            0.17            5.32
2010-2019        0            606335.70       634486.85      1240822.55
2010-2019      1-4           2501839.85      2621380.42      5123220.27
2010-2019      5-9           3143813.77      3292026.87      6435840.64
2010-2019     10-14          3054047.42      3193721.67      6247769.09
2010-2019     15-19          3099627.91      3250282.23      6349910.14
2010-2019     20-24          3381783.69      3470496.55      6852280.24
2010-2019     25-29          3595068.32      3607696.68      7202765.00
2010-2019     30-34          3637590.35      3662688.55      7300278.90
2010-2019     35-39          3657726.29      3717022.95      7374749.24
2010-2019     40-44          3756196.60      3851129.33      7607325.94
2010-2019     45-49          3953720.89      4057540.45      8011261.34
2010-2019     50-54          3985499.99      4043936.56      8029436.54
2010-2019     55-59          3758439.51      3734182.14      7492621.65
2010-2019     60-64          3408757.17      3308218.29      6716975.46
2010-2019     65-69          2961832.42      2765779.85      5727612.27
2010-2019     70-74          2470735.21      2145963.80      4616699.02
2010-2019     75-79          2191320.82      1698954.55      3890275.37
2010-2019     80-84          1908067.03      1249821.84      3157888.87
2010-2019     85-89          1298466.36       666223.39      1964689.75
2010-2019     90-94           550267.67       208811.79       759079.46
2010-2019     95-99           120964.01        31209.76       152173.77
2010-2019    100-104           14272.44         2165.63        16438.07
2010-2019    105-109             798.88           53.14          852.03
2010-2019    110+                 14.06            0.84           14.90
