PopName,Year,Age,Area1,Area2,Sex,RefCode,Access,Type,Value,NoteCode1,NoteCode2,NoteCode3,LDB
CAN,1949,39,2,1,f,2,O,Vx,1.021,.,.,.,1
CAN,1949,40,2,1,f,2,O,Vx,1.0207,.,.,.,1
CAN,1949,41,2,1,f,2,O,Vx,1.0204,.,.,.,1
CAN,1949,42,2,1,f,2,O,Vx,1.0202,.,.,.,1
CAN,1949,43,2,1,f,2,O,Vx,1.0202,.,.,.,1
CAN,1949,44,2,1,f,2,O,Vx,1.0203,.,.,.,1
CAN,1949,45,2,1,f,2,O,Vx,1.0204,.,.,.,1
CAN,1949,46,2,1,f,2,O,Vx,1.0205,.,.,.,1
CAN,1949,47,2,1,f,2,O,Vx,1.0206,.,.,.,1
CAN,1949,48,2,1,f,2,O,Vx,1.0208,.,.,.,1
CAN,1949,49,2,1,f,2,O,Vx,1.0209,.,.,.,1
CAN,1949,50,2,1,f,2,O,Vx,1.021,.,.,.,1
CAN,1949,51,2,1,f,2,O,Vx,1.0211,.,.,.,1
CAN,1949,52,2,1,f,2,O,Vx,1.0212,.,.,.,1
CAN,1949,53,2,1,f,2,O,Vx,1.021,.,.,.,1
CAN,1949,54,2,1,f,2,O,Vx,1.0208,.,.,.,1
CAN,1949,55,2,1,f,2,O,Vx,1.0205,.,.,.,1
CAN,1949,56,2,1,f,2,O,Vx,1.0203,.,.,.,1
CAN,1949,57,2,1,f,2,O,Vx,1.0201,.,.,.,1
CAN,1949,58,2,1,f,2,O,Vx,1.0201,.,.,.,1
CAN,1949,59,2,1,f,2,O,Vx,1.0201,.,.,.,1
CAN,1949,60,2,1,f,2,O,Vx,1.0202,.,.,.,1
CAN,1949,61,2,1,f,2,O,Vx,1.0203,.,.,.,1
CAN,1949,62,2,1,f,2,O,Vx,1.0204,.,.,.,1
CAN,1949,63,2,1,f,2,O,Vx,1.0206,.,.,.,1
CAN,1949,64,2,1,f,2,O,Vx,1.0209,.,.,.,1
CAN,1949,65,2,1,f,2,O,Vx,1.0212,.,.,.,1
CAN,1949,66,2,1,f,2,O,Vx,1.0215,.,.,.,1
CAN,1949,67,2,1,f,2,O,Vx,1.0217,.,.,.,1
CAN,1949,68,2,1,f,2,O,Vx,1.0219,.,.,.,1
CAN,1949,69,2,1,f,2,O,Vx,1.0218,.,.,.,1
CAN,1949,70,2,1,f,2,O,Vx,1.0219,.,.,.,1
CAN,1949,71,2,1,f,2,O,Vx,1.0219,.,.,.,1
CAN,1949,72,2,1,f,2,O,Vx,1.0218,.,.,.,1
CAN,1949,73,2,1,f,2,O,Vx,1.0219,.,.,.,1
CAN,1949,74,2,1,f,2,O,Vx,1.0219,.,.,.,1
CAN,1949,75,2,1,f,2,O,Vx,1.0219,.,.,.,1
CAN,1949,76,2,1,f,2,O,Vx,1.0218,.,.,.,1
CAN,1949,77,2,1,f,2,O,Vx,1.0218,.,.,.,1
CAN,1949,78,2,1,f,2,O,Vx,1.0216,.,.,.,1
CAN,1949,79,2,1,f,2,O,Vx,1.0214,.,.,.,1
CAN,1949,80,2,1,f,2,O,Vx,1.021,.,.,.,1
CAN,1949,81,2,1,f,2,O,Vx,1.021,.,.,.,1
CAN,1949,82,2,1,f,2,O,Vx,1.021,.,.,.,1
