Australia, Exposure to risk (period 5x5), 	Last modified: 14 Apr 2020;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1955-1959     40-44          1610565.54      1667970.75      3278536.29
1955-1959     45-49          1427560.60      1543540.28      2971100.88
1955-1959     50-54          1201872.49      1303277.20      2505149.69
1955-1959     55-59          1095786.07      1079349.45      2175135.52
1955-1959     60-64          1007073.75       891980.54      1899054.29
1955-1959     65-69           871709.30       754687.20      1626396.50
1955-1959     70-74           643069.73       524009.32      1167079.05
1955-1959     75-79           416242.47       303137.66       719380.13
1955-1959     80-84           235657.99       153242.59       388900.58
1955-1959     85-89            98574.60        58633.28       157207.88
1955-1959     90-94            27329.04        14673.57        42002.61
1955-1959     95-99             4207.28         2087.97         6295.25
1955-1959    100-104             246.67          134.34          381.01
1955-1959    105-109               1.06            0.40            1.46
1955-1959    110+                  0.00            0.00            0.00
1960-1964        0            562053.09       591582.63      1153635.72
1960-1964      1-4           2204152.10      2313528.54      4517680.64
1960-1964      5-9           2600588.32      2724890.71      5325479.03
1960-1964     10-14          2483522.92      2600999.15      5084522.07
1960-1964     15-19          2129518.15      2239657.05      4369175.20
1960-1964     20-24          1743758.16      1852240.77      3595998.93
1960-1964     25-29          1615856.88      1739062.53      3354919.41
1960-1964     30-34          1725310.86      1884745.20      3610056.06
1960-1964     35-39          1848892.95      1969545.03      3818437.98
1960-1964     40-44          1729117.01      1788078.26      3517195.26
1960-1964     45-49          1613539.21      1658904.76      3272443.97
1960-1964     50-54          1411212.49      1499672.55      2910885.04
1960-1964     55-59          1175305.67      1229639.69      2404945.35
1960-1964     60-64          1049579.84       972289.39      2021869.23
1960-1964     65-69           931706.11       753713.37      1685419.48
1960-1964     70-74           757443.26       586516.24      1343959.49
1960-1964     75-79           502565.46       356718.83       859284.29
1960-1964     80-84           291232.46       178802.45       470034.92
1960-1964     85-89           119528.64        64153.41       183682.04
1960-1964     90-94            34299.42        16180.94        50480.36
1960-1964     95-99             5631.74         2289.05         7920.79
1960-1964    100-104             468.07          195.50          663.57
1960-1964    105-109              22.35            3.38           25.72
1960-1964    110+                  0.35            0.00            0.35
1965-1969        0            558296.60       587195.39      1145491.99
1965-1969      1-4           2260894.34      2379262.04      4640156.38
1965-1969      5-9           2895418.67      3041145.14      5936563.81
1965-1969     10-14          2711316.19      2840360.18      5551676.36
1965-1969     15-19          2572498.75      2692169.95      5264668.70
1965-1969     20-24          2259363.19      2374643.40      4634006.59
1965-1969     25-29          1880668.97      2005241.89      3885910.86
1965-1969     30-34          1728581.67      1842446.15      3571027.82
1965-1969     35-39          1811174.48      1954702.14      3765876.62
1965-1969     40-44          1891447.53      2000935.89      3892383.41
1965-1969     45-49          1735264.13      1782189.17      3517453.30
1965-1969     50-54          1587188.25      1605731.42      3192919.67
1965-1969     55-59          1378590.05      1410405.82      2788995.87
1965-1969     60-64          1134170.12      1109559.10      2243729.21
1965-1969     65-69           978296.56       827857.41      1806153.97
1965-1969     70-74           808250.73       578720.06      1386970.79
1965-1969     75-79           592098.04       393457.39       985555.44
1965-1969     80-84           352823.18       206969.92       559793.11
1965-1969     85-89           149229.92        73715.25       222945.18
1965-1969     90-94            42640.49        17669.05        60309.54
1965-1969     95-99             7254.82         2573.89         9828.70
1965-1969    100-104             610.48          171.21          781.69
1965-1969    105-109              18.21            6.22           24.43
1965-1969    110+                  0.37            0.00            0.37
1970-1974        0            622239.10       651076.40      1273315.50
1970-1974      1-4           2463618.71      2574555.79      5038174.51
1970-1974      5-9           3004075.75      3162181.65      6166257.40
1970-1974     10-14          3068788.76      3229744.23      6298532.99
1970-1974     15-19          2847988.29      2953438.02      5801426.32
1970-1974     20-24          2763202.90      2868917.05      5632119.94
1970-1974     25-29          2470745.25      2624093.09      5094838.34
1970-1974     30-34          2049532.91      2189380.72      4238913.64
1970-1974     35-39          1865105.92      1976151.31      3841257.23
1970-1974     40-44          1894816.67      2035455.06      3930271.74
1970-1974     45-49          1935112.44      2033158.35      3968270.79
1970-1974     50-54          1742128.92      1759698.81      3501827.73
1970-1974     55-59          1555674.79      1527471.06      3083145.85
1970-1974     60-64          1364509.90      1282712.28      2647222.18
1970-1974     65-69          1088140.76       970077.59      2058218.34
1970-1974     70-74           873117.07       658142.66      1531259.74
1970-1974     75-79           635298.97       390106.75      1025405.72
1970-1974     80-84           420029.84       226308.75       646338.58
1970-1974     85-89           184717.64        86027.80       270745.44
1970-1974     90-94            55347.54        20522.90        75870.44
1970-1974     95-99             9366.27         2979.70        12345.97
1970-1974    100-104             780.07          232.95         1013.02
1970-1974    105-109              22.32            5.76           28.08
1970-1974    110+                  0.00            0.00            0.00
1975-1979        0            554490.10       582483.75      1136973.85
1975-1979      1-4           2387448.61      2497473.35      4884921.96
1975-1979      5-9           3177221.30      3323112.25      6500333.55
1975-1979     10-14          3073713.11      3241368.14      6315081.25
1975-1979     15-19          3132224.90      3266990.92      6399215.82
1975-1979     20-24          2954701.49      3028529.65      5983231.14
1975-1979     25-29          2905363.53      2980177.09      5885540.61
1975-1979     30-34          2545177.10      2678492.74      5223669.85
1975-1979     35-39          2104304.03      2219456.41      4323760.44
1975-1979     40-44          1866527.86      1971211.87      3837739.73
1975-1979     45-49          1884428.67      2007858.17      3892286.84
1975-1979     50-54          1905259.10      1971021.05      3876280.15
1975-1979     55-59          1704996.46      1666398.26      3371394.72
1975-1979     60-64          1520540.51      1404743.91      2925284.42
1975-1979     65-69          1286176.69      1123939.31      2410116.00
1975-1979     70-74           977961.85       775822.81      1753784.65
1975-1979     75-79           715976.15       459079.25      1175055.40
1975-1979     80-84           457651.50       223939.12       681590.62
1975-1979     85-89           231117.56        97210.03       328327.59
1975-1979     90-94            72381.08        25426.65        97807.73
1975-1979     95-99            13414.11         3655.16        17069.27
1975-1979    100-104            1150.56          296.83         1447.39
1975-1979    105-109              39.34           11.65           50.99
1975-1979    110+                  0.34            0.00            0.34
1980-1984        0            570327.45       599928.39      1170255.84
1980-1984      1-4           2252230.45      2365010.39      4617240.84
1980-1984      5-9           3031864.97      3177352.04      6209217.02
1980-1984     10-14          3266705.91      3412882.12      6679588.02
1980-1984     15-19          3164757.07      3299085.25      6463842.32
1980-1984     20-24          3251220.44      3348437.61      6599658.05
1980-1984     25-29          3097046.26      3161200.78      6258247.04
1980-1984     30-34          3022393.11      3092210.87      6114603.98
1980-1984     35-39          2616162.80      2722853.18      5339015.97
1980-1984     40-44          2112367.56      2221829.75      4334197.31
1980-1984     45-49          1848600.80      1944645.46      3793246.25
1980-1984     50-54          1859912.10      1948712.03      3808624.12
1980-1984     55-59          1860365.84      1870940.45      3731306.29
1980-1984     60-64          1662514.36      1535344.69      3197859.04
1980-1984     65-69          1438411.70      1249157.31      2687569.01
1980-1984     70-74          1169876.00       919682.74      2089558.74
1980-1984     75-79           813974.10       556296.28      1370270.38
1980-1984     80-84           524487.76       273011.27       797499.03
1980-1984     85-89           269267.07       103676.07       372943.14
1980-1984     90-94            99246.25        31670.97       130917.22
1980-1984     95-99            19631.52         5107.43        24738.95
1980-1984    100-104            2041.75          384.06         2425.81
1980-1984    105-109             114.45           18.62          133.08
1980-1984    110+                  4.07            0.00            4.07
1985-1989        0            593900.49       624039.08      1217939.57
1985-1989      1-4           2380639.67      2498947.24      4879586.91
1985-1989      5-9           2929775.00      3086839.83      6016614.84
1985-1989     10-14          3133368.38      3295899.62      6429268.00
1985-1989     15-19          3355773.44      3504705.02      6860478.45
1985-1989     20-24          3284716.82      3392688.55      6677405.36
1985-1989     25-29          3402293.49      3468237.96      6870531.45
1985-1989     30-34          3246568.67      3261519.46      6508088.13
1985-1989     35-39          3129616.09      3188216.55      6317832.64
1985-1989     40-44          2669761.02      2795151.13      5464912.15
1985-1989     45-49          2123358.92      2245195.41      4368554.34
1985-1989     50-54          1856621.16      1941464.60      3798085.76
1985-1989     55-59          1836009.41      1895030.02      3731039.43
1985-1989     60-64          1838954.73      1776196.13      3615150.85
1985-1989     65-69          1585686.87      1399050.79      2984737.65
1985-1989     70-74          1323203.94      1052265.06      2375468.99
1985-1989     75-79           995004.85       689704.05      1684708.90
1985-1989     80-84           617403.10       346093.92       963497.02
1985-1989     85-89           317863.31       130260.03       448123.34
1985-1989     90-94           118567.00        34001.75       152568.75
1985-1989     95-99            27566.14         6506.36        34072.50
1985-1989    100-104            3050.09          600.25         3650.34
1985-1989    105-109             166.73           30.43          197.16
1985-1989    110+                  0.34            0.69            1.03
1990-1994        0            628191.45       662232.91      1290424.36
1990-1994      1-4           2489808.03      2620607.36      5110415.39
1990-1994      5-9           3100770.74      3261287.10      6362057.85
1990-1994     10-14          3049491.04      3219579.33      6269070.37
1990-1994     15-19          3244111.73      3407523.70      6651635.43
1990-1994     20-24          3481201.17      3576943.32      7058144.49
1990-1994     25-29          3448439.27      3475650.25      6924089.52
1990-1994     30-34          3589413.46      3597244.71      7186658.17
1990-1994     35-39          3381664.74      3375870.93      6757535.67
1990-1994     40-44          3197722.41      3254744.03      6452466.44
1990-1994     45-49          2685658.72      2800890.00      5486548.72
1990-1994     50-54          2125762.84      2230296.00      4356058.85
1990-1994     55-59          1846360.53      1888025.28      3734385.81
1990-1994     60-64          1820457.13      1807503.95      3627961.08
1990-1994     65-69          1759334.05      1618986.65      3378320.69
1990-1994     70-74          1465275.57      1199671.25      2664946.82
1990-1994     75-79          1132510.81       802778.70      1935289.52
1990-1994     80-84           763754.00       440260.64      1204014.64
1990-1994     85-89           389909.13       174365.54       564274.66
1990-1994     90-94           145740.26        45336.45       191076.71
1990-1994     95-99            33753.49         7097.77        40851.26
1990-1994    100-104            4560.04          755.95         5315.99
1990-1994    105-109             209.58           41.57          251.15
1990-1994    110+                  2.08            0.00            2.08
1995-1999        0            616618.14       649760.17      1266378.31
1995-1999      1-4           2519925.84      2656950.44      5176876.28
1995-1999      5-9           3197506.23      3363267.06      6560773.30
1995-1999     10-14          3180450.60      3337158.51      6517609.10
1995-1999     15-19          3113091.77      3268423.51      6381515.28
1995-1999     20-24          3334657.63      3432577.98      6767235.61
1995-1999     25-29          3566448.26      3568195.75      7134644.00
1995-1999     30-34          3575636.38      3550555.18      7126191.56
1995-1999     35-39          3676266.07      3653215.09      7329481.16
1995-1999     40-44          3441176.26      3415807.61      6856983.87
1995-1999     45-49          3200842.59      3239358.84      6440201.43
1995-1999     50-54          2668798.45      2764378.42      5433176.88
1995-1999     55-59          2102578.79      2170586.40      4273165.19
1995-1999     60-64          1827751.28      1821080.84      3648832.12
1995-1999     65-69          1747285.46      1669927.05      3417212.50
1995-1999     70-74          1633569.38      1404038.60      3037607.98
1995-1999     75-79          1277658.95       948196.56      2225855.51
1995-1999     80-84           895844.19       532133.98      1427978.17
1995-1999     85-89           497526.26       230514.85       728041.10
1995-1999     90-94           184786.17        63211.38       247997.55
1995-1999     95-99            42350.64         9831.42        52182.06
1995-1999    100-104            5442.93          865.57         6308.50
1995-1999    105-109             301.20           30.95          332.15
1995-1999    110+                  2.26            0.00            2.26
2000-2004        0            610387.52       643431.50      1253819.02
2000-2004      1-4           2487892.15      2617675.40      5105567.55
2000-2004      5-9           3248213.93      3424797.98      6673011.90
2000-2004     10-14          3305361.03      3476220.99      6781582.02
2000-2004     15-19          3294217.41      3434990.51      6729207.91
2000-2004     20-24          3258396.26      3367807.06      6626203.33
2000-2004     25-29          3446905.61      3448292.59      6895198.20
2000-2004     30-34          3724045.92      3663984.17      7388030.09
2000-2004     35-39          3697917.56      3651519.74      7349437.30
2000-2004     40-44          3754606.32      3703350.23      7457956.55
2000-2004     45-49          3461129.32      3417179.23      6878308.55
2000-2004     50-54          3210965.59      3219574.85      6430540.44
2000-2004     55-59          2651179.63      2718156.82      5369336.45
2000-2004     60-64          2090329.86      2118071.42      4208401.28
2000-2004     65-69          1775120.77      1720106.74      3495227.51
2000-2004     70-74          1642626.48      1496417.88      3139044.35
2000-2004     75-79          1457864.26      1155682.39      2613546.65
2000-2004     80-84          1034718.55       659007.13      1693725.69
2000-2004     85-89           602784.88       294989.85       897774.73
2000-2004     90-94           244684.87        88276.40       332961.27
2000-2004     95-99            55572.35        14216.75        69789.10
2000-2004    100-104            6712.59         1201.86         7914.45
2000-2004    105-109             346.54           33.80          380.34
2000-2004    110+                  2.37            0.00            2.37
2005-2009        0            678088.90       715677.73      1393766.63
2005-2009      1-4           2591882.65      2734604.17      5326486.82
2005-2009      5-9           3245137.75      3412566.12      6657703.87
2005-2009     10-14          3366748.22      3552243.21      6918991.43
2005-2009     15-19          3458021.20      3644227.28      7102248.48
2005-2009     20-24          3640621.80      3807188.21      7447810.02
2005-2009     25-29          3587265.35      3665161.66      7252427.01
2005-2009     30-34          3699748.43      3676370.92      7376119.35
2005-2009     35-39          3891950.05      3839309.21      7731259.26
2005-2009     40-44          3807898.00      3754310.77      7562208.77
2005-2009     45-49          3797785.18      3729689.69      7527474.87
2005-2009     50-54          3462837.91      3415707.21      6878545.12
2005-2009     55-59          3151436.27      3138796.19      6290232.46
2005-2009     60-64          2616031.86      2628782.33      5244814.19
2005-2009     65-69          2031435.37      1996017.15      4027452.52
2005-2009     70-74          1671613.48      1556986.88      3228600.36
2005-2009     75-79          1480376.89      1252042.81      2732419.69
2005-2009     80-84          1209262.38       848807.86      2058070.24
